,,,,Original Data Set,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Order Number,Order Date,Customer ID,Customer Name,Customer Address,Postal Code,Pizza Code,Pizza Name,Quantity,Price,Total Price
1245,1/6/2016,AA405,John Jacobs,"1 Main Street, Brighton IL.",62213,P,Pepperoni,2,$6.00 ,$35.00 
,,,,62213,,V,Veggie,1,$6.50 ,
,,,,,,C,Cheese,3,$5.50 ,
1803,1/5/2016,AA510,Steve Smith,"4 Elm Street, Jamestown IL.",62215,P,Pepperoni,2,$6.00 ,$30.00 
,,,,62215,,M,Mushroom,3,$6.00 ,
1564,1/2/2016,AA405,John Jacobs,"1 Main Street, Brighton IL.",62213,V,Veggie,1,$6.50 ,$12.00 
,,,,62213,,C,Cheese,1,$5.50 ,
1463,1/4/2016,AA403,Bill Brandt,"4 Oak Street, Sycamore IL.",62214,C,Cheese,2,$5.50 ,$53.00 
,,,,62214,,M,Mushroom,3,$6.00 ,
,,,,,,P,Pepperoni,4,,
